player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints
8,25-26-prem-arsenal-vs-leeds-united,64,2,1,3,0.81,0.05,2,0,0,4,57,33,0.0,2.0,5,0,0.0,2,0.0,1,2,1,0,0,0,0,6,3,4,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,1.67,4,0,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
666,25-26-prem-arsenal-vs-leeds-united,90,2,0,3,1.28,0.03,2,1,1,6,24,4,0.0,0.0,0,0,0.0,0,0.0,0,0,3,0,2,1,0,6,4,2,0.0,4,0.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.85,0,0,95,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
7,25-26-prem-arsenal-vs-leeds-united,64,0,2,3,0.39,0.01,0,2,0,5,45,20,0.0,2.0,6,0,0.0,2,0.0,0,0,1,1,0,0,1,2,2,2,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,25-26-prem-arsenal-vs-leeds-united,90,0,1,0,0.0,0.54,0,1,0,1,75,63,0.0,3.0,5,3,0.0,1,0.0,0,0,3,0,0,0,1,1,2,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,25-26-prem-arsenal-vs-leeds-united,53,1,0,1,0.11,0.03,1,0,0,3,27,13,0.0,2.0,1,2,0.0,0,0.0,0,0,4,0,0,0,0,1,2,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.26,0,0,53,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,25-26-prem-arsenal-vs-leeds-united,90,0,0,1,0.02,0.02,0,1,0,0,95,72,0.0,0.0,8,0,0.0,1,0.0,1,1,5,0,0,0,0,5,2,4,0.0,1,0.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,25-26-prem-arsenal-vs-leeds-united,90,0,0,0,0.0,0.01,0,0,0,1,130,118,0.0,0.0,6,0,0.0,5,0.0,0,1,4,0,4,3,0,3,1,1,0.0,2,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,25-26-prem-arsenal-vs-leeds-united,90,0,0,0,0.0,0.0,0,0,0,0,34,28,0.0,0.0,4,0,0.0,6,0.0,0,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.14,0.14,0,28,6,,0,0,0,0,0.0,0.0,0.0,0,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,25-26-prem-arsenal-vs-leeds-united,90,0,0,1,0.04,0.01,0,0,0,2,113,94,0.0,0.0,8,0,0.0,4,0.0,0,1,4,1,1,0,0,4,1,1,0.0,3,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,25-26-prem-arsenal-vs-leeds-united,64,0,0,0,0.0,0.09,0,1,0,5,32,19,0.0,2.0,0,1,0.0,0,0.0,0,0,3,0,0,0,1,3,4,2,0.0,1,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,25-26-prem-arsenal-vs-leeds-united,27,0,0,0,0.0,0.0,0,2,0,0,28,21,0.0,0.0,0,0,0.0,0,0.0,1,0,2,0,0,0,0,4,2,4,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,64,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,25-26-prem-arsenal-vs-leeds-united,38,0,0,2,0.05,0.05,0,0,0,0,28,20,0.0,0.0,6,0,0.0,0,0.0,1,0,1,0,0,0,0,2,0,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,25-26-prem-arsenal-vs-leeds-united,53,0,0,1,0.02,0.01,0,2,0,1,42,26,0.0,0.0,1,0,0.0,2,0.0,0,0,3,0,0,0,0,3,3,3,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,38,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
350,25-26-prem-arsenal-vs-leeds-united,25,0,0,0,0.0,0.04,0,1,0,0,15,5,0.0,0.0,0,0,0.0,0,0.0,1,0,2,0,0,0,1,3,2,3,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,66,95,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
662,25-26-prem-arsenal-vs-leeds-united,27,0,0,0,0.0,0.0,0,0,0,0,17,10,0.0,0.0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,64,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
353,25-26-prem-arsenal-vs-leeds-united,66,0,0,2,0.07,0.0,0,1,0,2,22,6,0.0,0.0,0,0,0.0,1,0.0,0,0,4,0,0,0,0,2,0,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,66,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
351,25-26-prem-arsenal-vs-leeds-united,66,0,0,0,0.0,0.0,0,0,0,1,20,7,0.0,0.0,0,0,0.0,0,0.0,3,0,2,0,0,0,1,4,4,4,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,4,0,66,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,25-26-prem-arsenal-vs-leeds-united,38,0,0,1,0.07,0.03,0,1,0,1,17,6,0.0,1.0,2,2,0.0,1,0.0,0,0,0,0,0,0,1,1,3,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,53,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
660,25-26-prem-arsenal-vs-leeds-united,90,0,0,0,0.0,0.07,0,0,0,0,35,21,0.0,3.0,3,1,0.0,1,0.0,0,0,1,0,1,0,0,5,2,5,0.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,95,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
356,25-26-prem-arsenal-vs-leeds-united,90,0,0,0,0.0,0.0,0,0,0,0,41,34,0.0,0.0,1,0,0.0,1,0.0,1,1,3,1,0,0,1,1,2,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,95,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
365,25-26-prem-arsenal-vs-leeds-united,33,0,0,0,0.0,0.0,0,0,0,0,11,5,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,1,1,0.0,1,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,58,95,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
348,25-26-prem-arsenal-vs-leeds-united,90,0,0,0,0.0,0.0,0,1,0,0,52,27,0.0,0.0,1,0,0.0,0,0.0,1,2,2,2,9,5,0,5,4,3,0.0,2,0.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,95,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
493,25-26-prem-arsenal-vs-leeds-united,33,0,0,0,0.0,0.0,0,0,0,0,8,5,0.0,0.0,0,0,0.0,1,0.0,0,0,1,0,1,0,3,0,4,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,58,95,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
343,25-26-prem-arsenal-vs-leeds-united,90,0,0,1,0.1,0.0,1,0,0,1,51,37,0.0,0.0,2,0,0.0,1,0.0,2,0,3,0,4,2,0,3,2,2,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.14,2,0,95,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
362,25-26-prem-arsenal-vs-leeds-united,58,0,0,0,0.0,0.0,0,0,0,0,12,9,0.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,58,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
358,25-26-prem-arsenal-vs-leeds-united,58,0,0,0,0.0,0.0,0,0,0,0,26,19,0.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,4,0,6,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,58,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
342,25-26-prem-arsenal-vs-leeds-united,83,0,0,0,0.0,0.0,0,1,0,2,28,9,0.0,0.0,0,0,0.0,0,0.0,1,2,5,0,1,0,1,3,4,3,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,83,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
347,25-26-prem-arsenal-vs-leeds-united,90,0,0,0,0.0,0.0,0,0,0,0,48,12,0.0,0.0,1,0,0.0,0,0.0,1,1,1,0,4,2,1,3,9,3,0.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,0,95,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
